#                        h                         b
    1.9376893893073156e-03   -2.1758849432346846e+01
    2.4286757250803499e-03   -2.1555761518508639e+01
    2.9459180146379511e-03   -2.1352673604670436e+01
    2.8645245579055302e-03   -2.1149585690832229e+01
    3.6705823390944096e-03   -2.0946497776994022e+01
    4.2718436807629503e-03   -2.0743409863155819e+01
    4.2455877269782236e-03   -2.0540321949317615e+01
    5.2354371846596035e-03   -2.0337234035479408e+01
    4.6289246522342236e-03   -2.0134146121641201e+01
    5.1199109880072239e-03   -1.9931058207802998e+01
    4.3899954727937328e-03   -1.9727970293964795e+01
    5.3483377859336999e-03   -1.9524882380126584e+01
    4.7707068026713465e-03   -1.9321794466288381e+01
    5.4953711271276571e-03   -1.9118706552450178e+01
    5.7553050695958131e-03   -1.8915618638611971e+01
    5.5583854162108218e-03   -1.8712530724773767e+01
    6.4484622495105245e-03   -1.8509442810935560e+01
    7.8006438694202367e-03   -1.8306354897097354e+01
    6.3985759373196855e-03   -1.8103266983259150e+01
    8.2154879392177457e-03   -1.7900179069420943e+01
    7.7455063664723317e-03   -1.7697091155582740e+01
    8.4360379510088259e-03   -1.7494003241744533e+01
    7.5538379038443716e-03   -1.7290915327906330e+01
    7.2781503891056528e-03   -1.7087827414068123e+01
    8.4176587833594222e-03   -1.6884739500229919e+01
    6.8396759609018389e-03   -1.6681651586391713e+01
    6.8423015562804239e-03   -1.6478563672553506e+01
    9.8801154091645374e-03   -1.6275475758715302e+01
    8.9217730960248973e-03   -1.6072387844877095e+01
    9.6228070620749482e-03   -1.5869299931038892e+01
    1.0092788634820393e-02   -1.5666212017200685e+01
    1.1059007734095410e-02   -1.5463124103362482e+01
    1.1460723827000785e-02   -1.5260036189524275e+01
    1.1788923249308737e-02   -1.5056948275686072e+01
    1.3437797146984879e-02   -1.4853860361847865e+01
    1.1668145861899539e-02   -1.4650772448009658e+01
    1.2560848290577504e-02   -1.4447684534171454e+01
    1.3737115020130150e-02   -1.4244596620333247e+01
    1.3143730464596777e-02   -1.4041508706495044e+01
    1.3015076291052209e-02   -1.3838420792656837e+01
    1.6396843138515155e-02   -1.3635332878818634e+01
    1.4642945425700660e-02   -1.3432244964980427e+01
    1.6008255022502305e-02   -1.3229157051142224e+01
    1.8397546816905634e-02   -1.3026069137304017e+01
    1.8612845637940110e-02   -1.2822981223465810e+01
    1.6732919346958700e-02   -1.2619893309627606e+01
    1.7594114631095593e-02   -1.2416805395789400e+01
    1.9949273685578566e-02   -1.2213717481951196e+01
    1.7709640827748063e-02   -1.2010629568112989e+01
    1.8843898031244720e-02   -1.1807541654274786e+01
    2.0991635050829616e-02   -1.1604453740436579e+01
    1.9445159372913252e-02   -1.1401365826598376e+01
    2.2819049434241030e-02   -1.1198277912760169e+01
    2.1734678542935284e-02   -1.0995189998921962e+01
    2.2490850011932878e-02   -1.0792102085083759e+01
    2.5890996027045761e-02   -1.0589014171245552e+01
    2.3512206614155842e-02   -1.0385926257407348e+01
    2.8734515821923618e-02   -1.0182838343569141e+01
    3.0842868910830670e-02   -9.9797504297309381e+00
    2.5644190061470028e-02   -9.7766625158927312e+00
    2.5615308512306464e-02   -9.5735746020545278e+00
    2.5946133529993077e-02   -9.3704866882163209e+00
    2.7447974086475650e-02   -9.1673987743781140e+00
    2.8726639035787722e-02   -8.9643108605399107e+00
    3.0449029604061421e-02   -8.7612229467017038e+00
    3.2381467802611273e-02   -8.5581350328635004e+00
    3.0170716493944108e-02   -8.3550471190252935e+00
    2.8679378318975348e-02   -8.1519592051870902e+00
    3.2651904126593759e-02   -7.9488712913488833e+00
    3.0982025465889327e-02   -7.7457833775106799e+00
    3.0895380818399973e-02   -7.5426954636724730e+00
    3.1473011801662870e-02   -7.3396075498342661e+00
    3.4954551273507169e-02   -7.1365196359960628e+00
    3.4376920290245430e-02   -6.9334317221578559e+00
    3.4723498880202229e-02   -6.7303438083196525e+00
    3.7241444848151006e-02   -6.5272558944814456e+00
    3.8257550259616385e-02   -6.3241679806432423e+00
    3.6448515043854504e-02   -6.1210800668050354e+00
    3.5923395968160826e-02   -5.9179921529668320e+00
    3.4744503643229951e-02   -5.7149042391286251e+00
    3.7162676986797046e-02   -5.5118163252904182e+00
    3.6332988847201396e-02   -5.3087284114522149e+00
    4.2153933801259473e-02   -5.1056404976140080e+00
    3.5768485840831379e-02   -4.9025525837758046e+00
    3.4631603041956553e-02   -4.6994646699375977e+00
    3.3778284543954762e-02   -4.4963767560993944e+00
    3.7488250813726740e-02   -4.2932888422611875e+00
    3.8927077081125014e-02   -4.0902009284229841e+00
    3.8352071693241133e-02   -3.8871130145847772e+00
    3.8625133612602190e-02   -3.6840251007465703e+00
    3.7112790674605559e-02   -3.4809371869083670e+00
    3.6206960269035700e-02   -3.2778492730701601e+00
    3.6028419783300070e-02   -3.0747613592319567e+00
    3.6797719229189091e-02   -2.8716734453937534e+00
    3.6760960893891872e-02   -2.6685855315555429e+00
    4.0875268851946901e-02   -2.4654976177173396e+00
    4.6599066777001132e-02   -2.2624097038791362e+00
    4.3611139236306162e-02   -2.0593217900409329e+00
    3.9289409243353897e-02   -1.8562338762027224e+00
    4.5504193504181126e-02   -1.6531459623645191e+00
    4.7712319217468727e-02   -1.4500580485263157e+00
    4.3815935675827970e-02   -1.2469701346881052e+00
    4.0505059903583308e-02   -1.0438822208499019e+00
    4.1949137361739185e-02   -8.4079430701169855e-01
    4.4627244647772173e-02   -6.3770639317349520e-01
    4.4548476786419773e-02   -4.3461847933528475e-01
    4.5081472648248223e-02   -2.3153056549708140e-01
    4.1838862355842187e-02   -2.8442651658878049e-02
    4.5225880394063812e-02    1.7464526217933241e-01
    4.5084098243626684e-02    3.7773317601753575e-01
    4.2416493339106000e-02    5.8082108985573910e-01
    3.8126270490692456e-02    7.8390900369394245e-01
    3.8669768734036096e-02    9.8699691753215291e-01
    4.0373780134660038e-02    1.1900848313703563e+00
    4.1762720089868151e-02    1.3931727452085596e+00
    4.1437146262937014e-02    1.5962606590467630e+00
    4.3621641617821554e-02    1.7993485728849734e+00
    4.1694454610028055e-02    2.0024364867231768e+00
    4.3679404716146251e-02    2.2055244005613801e+00
    4.3324949340054972e-02    2.4086123143995906e+00
    4.1555298054969401e-02    2.6117002282377939e+00
    3.8527986583598975e-02    2.8147881420759973e+00
    4.0006196781673511e-02    3.0178760559142006e+00
    4.1946511766360724e-02    3.2209639697524111e+00
    3.7829578212927220e-02    3.4240518835906144e+00
    3.6543036477477975e-02    3.6271397974288178e+00
    3.9213266977378411e-02    3.8302277112670282e+00
    3.9018972919371980e-02    4.0333156251052316e+00
    3.9410186630763296e-02    4.2364035389434349e+00
    3.7246696038906631e-02    4.4394914527816383e+00
    3.6669065055645579e-02    4.6425793666198487e+00
    3.7698298444003964e-02    4.8456672804580521e+00
    3.7183681749824775e-02    5.0487551942962554e+00
    3.9924803324941090e-02    5.2518431081344588e+00
    4.2907479674878998e-02    5.4549310219726692e+00
    3.7643160941056193e-02    5.6580189358108726e+00
    3.7903094883522920e-02    5.8611068496490759e+00
    3.4211507781402119e-02    6.0641947634872864e+00
    3.6246344199712684e-02    6.2672826773254897e+00
    3.7740307970059409e-02    6.4703705911636931e+00
    3.6086182881625038e-02    6.6734585050018964e+00
    3.2263316010580904e-02    6.8765464188401069e+00
    3.2268567201337840e-02    7.0796343326783102e+00
    3.3135013676230209e-02    7.2827222465165136e+00
    2.8398439613480066e-02    7.4858101603547240e+00
    2.7489983612531094e-02    7.6888980741929274e+00
    2.4756738823548778e-02    7.8919859880311307e+00
    2.3911297111682130e-02    8.0950739018693341e+00
    2.4079335215904742e-02    8.2981618157075445e+00
    2.4184359031043354e-02    8.5012497295457479e+00
    2.6224446640110848e-02    8.7043376433839512e+00
    2.7479481231016272e-02    8.9074255572221546e+00
    2.5552294223223745e-02    9.1105134710603650e+00
    2.6733812143533105e-02    9.3136013848985684e+00
    2.9677104562791604e-02    9.5166892987367717e+00
    2.3617230429294860e-02    9.7197772125749822e+00
    2.2506603584204064e-02    9.9228651264131855e+00
    2.1598147583255088e-02    1.0125953040251389e+01
    2.0708070749954649e-02    1.0329040954089592e+01
    2.2645760139262720e-02    1.0532128867927803e+01
    1.8581338493398523e-02    1.0735216781766006e+01
    1.8762504574511969e-02    1.0938304695604209e+01
    1.9030315303116080e-02    1.1141392609442420e+01
    1.9080201615306921e-02    1.1344480523280623e+01
    2.0526904668841269e-02    1.1547568437118827e+01
    1.9783861176734915e-02    1.1750656350957030e+01
    2.0878734449555614e-02    1.1953744264795240e+01
    1.6725042560823598e-02    1.2156832178633444e+01
    1.7604617012609455e-02    1.2359920092471647e+01
    1.6819563994447759e-02    1.2563008006309850e+01
    1.6612141959549593e-02    1.2766095920148061e+01
    1.5225827599719945e-02    1.2969183833986264e+01
    1.3915655505865302e-02    1.3172271747824468e+01
    1.3634716800370006e-02    1.3375359661662678e+01
    1.3829010858376435e-02    1.3578447575500881e+01
    1.2797151874639595e-02    1.3781535489339085e+01
    1.4154584685305630e-02    1.3984623403177288e+01
    1.3406290002443529e-02    1.4187711317015498e+01
    1.2952062001969043e-02    1.4390799230853702e+01
    1.2064610764047369e-02    1.4593887144691905e+01
    1.1450221445486923e-02    1.4796975058530116e+01
    9.4311385994471537e-03    1.5000062972368319e+01
    1.0751813074815170e-02    1.5203150886206522e+01
    1.0218817212986368e-02    1.5406238800044726e+01
    8.1603504362699752e-03    1.5609326713882936e+01
    8.5515641476612975e-03    1.5812414627721139e+01
    1.0342220195774592e-02    1.6015502541559343e+01
    9.2184653737911459e-03    1.6218590455397546e+01
    7.9004164938019164e-03    1.6421678369235757e+01
    8.2128623438392796e-03    1.6624766283073960e+01
    7.9398004244786175e-03    1.6827854196912163e+01
    6.0703765150116416e-03    1.7030942110750374e+01
    5.7395514973250213e-03    1.7234030024588577e+01
    4.0014073567810303e-03    1.7437117938426780e+01
    5.6922907805124472e-03    1.7640205852264984e+01
    7.2440176491856056e-03    1.7843293766103194e+01
    4.8232187102406517e-03    1.8046381679941398e+01
    5.9942342490361495e-03    1.8249469593779601e+01
    5.1986788493609990e-03    1.8452557507617804e+01
    5.3982240981245398e-03    1.8655645421456015e+01
    5.9023384107898657e-03    1.8858733335294218e+01
    4.9466216930283448e-03    1.9061821249132421e+01
    4.7602044211574861e-03    1.9264909162970632e+01
    4.7680812072928812e-03    1.9467997076808835e+01
    4.5842895308003144e-03    1.9671084990647039e+01
    5.3089538552565357e-03    1.9874172904485242e+01
    3.9383930676978648e-03    2.0077260818323452e+01
    4.1431895072181540e-03    2.0280348732161656e+01
    3.7729805588544224e-03    2.0483436645999859e+01
    4.1694454610028062e-03    2.0686524559838070e+01
    3.8937579462639555e-03    2.0889612473676273e+01
    3.4972930441157036e-03    2.1092700387514476e+01
    3.0168090898564583e-03    2.1295788301352680e+01
    2.5704578755174731e-03    2.1498876215190890e+01
    2.2002489271538738e-03    2.1701964129029093e+01
    2.5625810893820772e-03    2.1905052042867297e+01
    3.0036811129641331e-03    2.2108139956705500e+01
    2.0610923720952158e-03    2.2311227870543711e+01
    1.8352911695472048e-03    2.2514315784381914e+01
    1.8431679556825361e-03    2.2717403698220117e+01
    1.7670256897071085e-03    2.2920491612058328e+01
    2.1136042796645205e-03    2.3123579525896531e+01
    2.2002489271538738e-03    2.3326667439734734e+01
    2.2212536901815177e-03    2.3529755353572938e+01
    2.0978507073937292e-03    2.3732843267411148e+01
    1.1710155387954983e-03    2.3935931181249352e+01
    1.2891673308263894e-03    2.4139019095087555e+01
    1.0686173190353539e-03    2.4342107008925765e+01
    1.3154232846110867e-03    2.4545194922763969e+01
    1.6882578283531511e-03    2.4748282836602172e+01
    1.0239821976014089e-03    2.4951370750440375e+01
    9.5309112238288322e-04    2.5154458664278586e+01
    1.7276417590301300e-03    2.5357546578116789e+01
    1.0659917236568886e-03    2.5560634491954993e+01
    7.6142265975489383e-04    2.5763722405793196e+01
    1.0029774345737229e-03    2.5966810319631406e+01
    5.0411431266532663e-04    2.6169898233469610e+01
    5.3824705258535604e-04    2.6372986147307813e+01
    4.1221847441904317e-04    2.6576074061146024e+01
    3.2294823155122485e-04    2.6779161974984227e+01
    2.8881549163117668e-04    2.6982249888822430e+01
    4.0171609290516814e-04    2.7185337802660634e+01
    4.3847442820369560e-04    2.7388425716498844e+01
    4.2797204668983466e-04    2.7591513630337047e+01
    3.7020894836358630e-04    2.7794601544175251e+01
    6.9053158453635897e-04    2.7997689458013461e+01
    3.7283454374206450e-04    2.8200777371851665e+01
    4.0959287904057787e-04    2.8403865285689868e+01
    5.6450300637000744e-04    2.8606953199528071e+01
    3.8071132987746025e-04    2.8810041113366282e+01
    5.6450300637002717e-04    2.9013129027204485e+01
    3.8596252063439074e-04    2.9216216941042688e+01
    9.7147029003213985e-05    2.9419304854880892e+01
    1.0239821976013731e-04    2.9622392768719095e+01
    2.4418037019726763e-04    2.9825480682557313e+01
    2.4418037019726763e-04    3.0028568596395516e+01
    2.1529882103414993e-04    3.0231656510233719e+01
    4.8836074039453525e-04    3.0434744424071923e+01
    3.3870180382201634e-04    3.0637832337910126e+01
    1.7591489035717129e-04    3.0840920251748329e+01
    2.7043632398192005e-04    3.1044008165586533e+01
    3.2557382692966738e-04    3.1247096079424736e+01
    5.0148871728686144e-04    3.1450183993262954e+01
    2.9406668238810723e-04    3.1653271907101157e+01
    2.8618989625271149e-04    3.1856359820939360e+01
    1.1027500589554021e-04    3.2059447734777564e+01
    8.6644647489353020e-05    3.2262535648615767e+01
    9.7147029003213985e-05    3.2465623562453970e+01
    2.1267322565566980e-04    3.2668711476292174e+01
    2.4680596557573282e-04    3.2871799390130391e+01
    1.2077738740940118e-04    3.3074887303968595e+01
    1.7066369960024082e-04    3.3277975217806798e+01
    4.3847442820369560e-04    3.3481063131645001e+01
    6.5639884461631077e-05    3.3684151045483205e+01
    8.1393456732422538e-05    3.3887238959321408e+01
    1.8641727187101921e-04    3.4090326873159611e+01
    3.9383930676978652e-05    3.4293414786997829e+01
    9.1895838246286728e-05    3.4496502700836032e+01
